epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2139.81,1.29153,0.7339,0.00451,0.86323,0.79976,0.89205,0.62039,1.23492,0.60253,0.00508,0.0011486,0.0011486,0.0011486
45,2189.26,1.28929,0.72133,0.00443,0.87884,0.80463,0.89348,0.62225,1.23076,0.59851,0.00513,0.0011288,0.0011288,0.0011288
46,2237.6,1.28785,0.72344,0.00445,0.8736,0.80628,0.89471,0.6303,1.21533,0.58537,0.00496,0.001109,0.001109,0.001109
47,2287.29,1.28107,0.72035,0.00447,0.86901,0.80533,0.89593,0.62988,1.21779,0.58967,0.00498,0.0010892,0.0010892,0.0010892
48,2336.43,1.27938,0.7173,0.00435,0.87552,0.81444,0.9021,0.63373,1.21149,0.57876,0.00498,0.0010694,0.0010694,0.0010694
49,2383.04,1.27328,0.70216,0.00432,0.88606,0.79758,0.89608,0.62924,1.22829,0.59437,0.00501,0.0010496,0.0010496,0.0010496
50,2430.56,1.2651,0.72097,0.00439,0.87016,0.81508,0.90151,0.63227,1.21822,0.57311,0.00493,0.0010298,0.0010298,0.0010298
51,2477.32,1.27362,0.70092,0.00424,0.87473,0.81665,0.90211,0.63458,1.20543,0.57743,0.00492,0.00101,0.00101,0.00101
52,2524.23,1.26102,0.71251,0.00437,0.88152,0.80986,0.90081,0.63723,1.19488,0.57724,0.00484,0.0009902,0.0009902,0.0009902
53,2572.8,1.25638,0.68895,0.00419,0.87325,0.82117,0.90387,0.64124,1.18475,0.56193,0.0048,0.0009704,0.0009704,0.0009704
54,2619.02,1.2581,0.69949,0.00424,0.87312,0.81369,0.90435,0.64015,1.19699,0.56229,0.00483,0.0009506,0.0009506,0.0009506
55,2667.92,1.26293,0.70542,0.00428,0.87171,0.825,0.90534,0.64197,1.18478,0.56133,0.00482,0.0009308,0.0009308,0.0009308
56,2721.3,1.24483,0.67987,0.00423,0.88387,0.81874,0.90662,0.64414,1.18543,0.55685,0.0048,0.000911,0.000911,0.000911
57,2773.58,1.23545,0.66907,0.00415,0.87641,0.82117,0.90447,0.63852,1.19168,0.55983,0.00481,0.0008912,0.0008912,0.0008912
58,2824.78,1.24478,0.68002,0.00424,0.88016,0.81264,0.90573,0.64388,1.17605,0.56483,0.00475,0.0008714,0.0008714,0.0008714
59,2876.58,1.24872,0.68508,0.00429,0.88611,0.81694,0.90811,0.64797,1.18056,0.55872,0.00472,0.0008516,0.0008516,0.0008516
60,2926.86,1.23226,0.67454,0.00425,0.89711,0.81177,0.9098,0.64736,1.17955,0.54615,0.00476,0.0008318,0.0008318,0.0008318
61,2976.19,1.23732,0.67254,0.00412,0.87997,0.8221,0.90905,0.64711,1.17606,0.54883,0.00473,0.000812,0.000812,0.000812
62,3027.78,1.23609,0.66688,0.00419,0.87975,0.82291,0.90933,0.64812,1.16711,0.55986,0.00471,0.0007922,0.0007922,0.0007922
63,3076.34,1.21639,0.65806,0.00411,0.88405,0.82657,0.91095,0.65228,1.17023,0.53676,0.00471,0.0007724,0.0007724,0.0007724
64,3125.3,1.24269,0.67494,0.00416,0.88304,0.83162,0.91077,0.65096,1.16517,0.54616,0.00471,0.0007526,0.0007526,0.0007526
65,3176.94,1.21916,0.66086,0.00416,0.89182,0.82679,0.91541,0.65272,1.1702,0.53315,0.00473,0.0007328,0.0007328,0.0007328
66,3228.2,1.21783,0.65919,0.00412,0.87902,0.83284,0.91362,0.65282,1.15968,0.54054,0.00466,0.000713,0.000713,0.000713
67,3276.2,1.2294,0.66791,0.00416,0.8807,0.83928,0.91438,0.65439,1.17059,0.53184,0.00467,0.0006932,0.0006932,0.0006932
68,3323.59,1.2156,0.65495,0.004,0.87409,0.84311,0.91413,0.65429,1.16325,0.53311,0.00463,0.0006734,0.0006734,0.0006734
69,3372.47,1.21427,0.6491,0.00408,0.87517,0.84085,0.91727,0.65894,1.15794,0.53,0.00463,0.0006536,0.0006536,0.0006536
70,3424.46,1.22339,0.6607,0.00403,0.88402,0.83346,0.91646,0.65656,1.15645,0.53366,0.00464,0.0006338,0.0006338,0.0006338
71,3477.15,1.20708,0.64514,0.00404,0.88634,0.84455,0.91742,0.65903,1.15603,0.52717,0.00459,0.000614,0.000614,0.000614
72,3531.55,1.20454,0.63773,0.00398,0.88395,0.83555,0.91629,0.65993,1.15599,0.52523,0.00459,0.0005942,0.0005942,0.0005942
73,3581.88,1.20736,0.64325,0.00403,0.87779,0.84329,0.91614,0.65984,1.15019,0.52958,0.00456,0.0005744,0.0005744,0.0005744
74,3632.55,1.2058,0.6418,0.004,0.88839,0.84189,0.91992,0.66356,1.14666,0.51927,0.00454,0.0005546,0.0005546,0.0005546
75,3682.17,1.19505,0.63512,0.00402,0.87872,0.84485,0.91687,0.662,1.14323,0.52344,0.00452,0.0005348,0.0005348,0.0005348
76,3730.77,1.18956,0.62994,0.00392,0.89432,0.84346,0.92108,0.66537,1.1428,0.51826,0.00454,0.000515,0.000515,0.000515
77,3777.77,1.19317,0.63134,0.00393,0.87823,0.85016,0.91918,0.66433,1.13854,0.51643,0.00452,0.0004952,0.0004952,0.0004952
78,3825.84,1.20033,0.63409,0.00396,0.88365,0.84898,0.92112,0.66464,1.14189,0.5125,0.00453,0.0004754,0.0004754,0.0004754
79,3873.9,1.18601,0.6195,0.00394,0.89841,0.83597,0.9213,0.66592,1.13349,0.51094,0.00451,0.0004556,0.0004556,0.0004556
80,3922.98,1.19486,0.63169,0.004,0.89757,0.84224,0.92226,0.66635,1.14287,0.50958,0.00454,0.0004358,0.0004358,0.0004358
81,3970.53,1.19151,0.63369,0.00393,0.8835,0.84781,0.92028,0.66653,1.13556,0.51062,0.00449,0.000416,0.000416,0.000416
82,4022.03,1.18388,0.61676,0.00399,0.88004,0.84538,0.91993,0.66509,1.13894,0.514,0.0045,0.0003962,0.0003962,0.0003962
83,4072.97,1.18151,0.61897,0.00394,0.88156,0.85019,0.92167,0.669,1.13172,0.51371,0.00448,0.0003764,0.0003764,0.0003764
84,4123.62,1.18003,0.6197,0.00393,0.88809,0.84984,0.92372,0.66993,1.13216,0.50566,0.0045,0.0003566,0.0003566,0.0003566
85,4173.05,1.17803,0.61663,0.00392,0.8916,0.84485,0.92378,0.67177,1.12631,0.50221,0.00446,0.0003368,0.0003368,0.0003368
86,4222.34,1.16758,0.62019,0.00393,0.88854,0.85089,0.92386,0.66974,1.12778,0.49895,0.00447,0.000317,0.000317,0.000317
87,4269.67,1.18379,0.61449,0.00382,0.88316,0.85817,0.92504,0.67213,1.12675,0.49643,0.00446,0.0002972,0.0002972,0.0002972
88,4319.09,1.16164,0.60311,0.00386,0.88898,0.84973,0.92537,0.67314,1.12646,0.49629,0.00446,0.0002774,0.0002774,0.0002774
89,4369.1,1.16486,0.60774,0.0039,0.89266,0.85165,0.92536,0.67269,1.12522,0.496,0.00444,0.0002576,0.0002576,0.0002576
90,4419.63,1.16884,0.6121,0.00384,0.8943,0.84886,0.92374,0.67206,1.1285,0.5005,0.00444,0.0002378,0.0002378,0.0002378
91,4471.33,1.11859,0.55416,0.0041,0.89087,0.84152,0.92167,0.66619,1.14131,0.51039,0.0045,0.000218,0.000218,0.000218
92,4521.67,1.11106,0.54298,0.00401,0.89403,0.84573,0.92195,0.66778,1.13847,0.50617,0.00449,0.0001982,0.0001982,0.0001982
93,4569.63,1.10647,0.54107,0.00397,0.89069,0.84848,0.92388,0.67052,1.12737,0.5018,0.00446,0.0001784,0.0001784,0.0001784
94,4616.68,1.09276,0.53281,0.00396,0.89813,0.84277,0.9238,0.67201,1.12724,0.49998,0.00444,0.0001586,0.0001586,0.0001586
95,4663.95,1.09418,0.53341,0.00392,0.88895,0.85339,0.92448,0.67221,1.12389,0.50052,0.00443,0.0001388,0.0001388,0.0001388
96,4712.64,1.08191,0.52854,0.00391,0.88951,0.85356,0.92602,0.67371,1.1256,0.49165,0.00443,0.000119,0.000119,0.000119
97,4759.62,1.09398,0.53256,0.00392,0.89073,0.85304,0.92577,0.67384,1.12708,0.49351,0.00444,9.92e-05,9.92e-05,9.92e-05
98,4809.16,1.08239,0.52783,0.00386,0.89336,0.84938,0.92537,0.67333,1.1223,0.49582,0.00442,7.94e-05,7.94e-05,7.94e-05
99,4857.67,1.08462,0.53057,0.00388,0.89595,0.85015,0.92622,0.67473,1.1186,0.49456,0.00441,5.96e-05,5.96e-05,5.96e-05
100,4904.91,1.09087,0.52779,0.00386,0.90716,0.84311,0.92678,0.67483,1.122,0.49626,0.00442,3.98e-05,3.98e-05,3.98e-05
